PE File Segment Analysis:

Segment Name         Characteristics      Avg Size of Raw Data (bytes)   Max        Min             STD                  Count
PAGE_WSC             R E                  5973.33                        7680       3584            1740.47              3
PAGE_PRE             R E                  3072.0                         3072       3072            0.0                  3
PAGESIPC             R E                  698709.33                      905216     468480          179084.07            3
PAGEISPC             R E                  156416.0                       162816     150016          6400.0               2
PAGEDMCC             R E                  11264.0                        11776      10240           724.08               3
PAGEDSIC             R E                  85162.67                       102400     54784           21545.95             3
PAGED3PC             R E                  1063936.0                      1285120    837120          182938.59            3
PAGED2IC             R E                  263168.0                       371712     208896          76752.2              3
PAGED3IC             R E                  311125.33                      436736     165376          111693.74            3
PAGEDCIC             R E                  3147434.67                     3527680    2860032         280360.82            3
PAGEKMDD             RW                   1536.0                         1536       1536            0.0                  3
PAGECALD             RW                   6646784.0                      6647808    6644736         1448.15              3
PAGEIVEG             RW                   146944.0                       146944     146944          0.0                  3
PAGEINAV             RW                   185344.0                       210432     147456          27256.49             3
PAGEILEG             RW                   151722.67                      289280     82944           97267.72             3
PAGEICMN             RW                   10752.0                        16384      4608            4821.14              3
PAGED2PD             RW                   117760.0                       234496     59392           82544.82             3
PAGED2PR             R                    286208.0                       355840     251392          49237.26             3
PAGEPPLD             RW                   1420458.67                     3738624    120832          1643202.26           3
PAGE_RW              RW                   572928.0                       572928     572928          0.0                  3
PAGE_CPR             R                    57514.67                       58368      56320           870.23               3
PAGE_DRM             R                    2048.0                         2048       2048            0.0                  3
PAGE_HDC             R                    6656.0                         7168       6144            418.05               3
PAGE_OPM             R                    3584.0                         3584       3584            0.0                  3
PAGE_WSD             RW                   682.67                         1024       512             241.36               3
PAGE_WSR             R                    4608.0                         5632       3072            1106.05              3
PAGE_PRE             R                    512.0                          512        512             0.0                  3
PAGESIPD             RW                   44998826.67                    56524800   31406080        10358287.75          3
PAGEISPD             RW                   18944.0                        18944      18944           0.0                  2
PAGEDMCD             RW                   1307477.33                     1668608    734720          409573.83            3
PAGEDSIR             R                    17237.33                       19456      14336           2145.25              3
PAGEDSID             RW                   4096.0                         4608       3584            418.05               3
PAGED3PD             RW                   50858.67                       52736      47616           2302.42              3
PAGED3IR             R                    26794.67                       38912      11264           11542.42             3
PAGED3PR             R                    1063594.67                     1639424    247296          593225.21            3
PAGED2IR             R                    20821.33                       26624      17920           4103.1               3
PAGED2ID             RW                   1024.0                         1024       1024            0.0                  3
PAGEDCIR             R                    872960.0                       1011200    699392          129723.06            3
PAGEDCID             RW                   59904.0                        77824      46592           13160.16             3
PAGED3ID             RW                   1416192.0                      2209280    376832          768094.54            3
.text1               R E                  1462.86                        4096       512             1509.65              7
.text2               R E                  3840.0                         4096       3584            256.0                2
.text3               R E                  3840.0                         4096       3584            256.0                2
