Section	Avg	Max	Min	Std	Count	Type
.smp_locks	57344.0	57344	57344	0.0	1	ELF
.stack	3737.6	4096	512	1103.1319241619576	20	ELF
.stapsdt.base	1.0	1	1	0.0	1	ELF
.strtab	70008.88089204258	20571932	29	862936.2359576254	1973	ELF
.symtab	19986.82209832742	3623448	120	189777.8589915673	1973	ELF
.sysmem	0.0	0	0	0.0	2	ELF
.tbss	4044.7014925373132	65552	1	15619.116099438053	67	ELF
.tdata	33.09090909090909	120	0	37.50670935650376	22	ELF
.text	393873.11890660593	47405392	0	2893975.7619936536	2195	ELF
.text._ZN5boost6detail15sp_counted_base7destroyEv	6.0	6	6	0.0	1	ELF
.text._ZN5boost6detail15sp_counted_base7releaseEv	78.0	78	78	0.0	1	ELF
.text._ZN5boost6detail8function15functor_managerIPFvvEE6manageERKNS1_15function_bufferERS6_NS1_30functor_manager_operation_typeE	153.0	153	153	0.0	1	ELF
.text._ZN5boost6detail8function22void_function_invoker0IPFvvEvE6invokeERNS1_15function_bufferE	2.0	2	2	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamEA1_cRA1_KcED0Ev	5.0	5	5	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamEA1_cRA1_KcED2Ev	1.0	1	1	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tIA13_cEERKS7_ED0Ev	5.0	5	5	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tIA13_cEERKS7_ED2Ev	1.0	1	1	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEERKSC_ED0Ev	5.0	5	5	0.0	1	ELF
.text._ZN5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEERKSC_ED2Ev	1.0	1	1	0.0	1	ELF
.text._ZNK5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamEA1_cRA1_KcEclERSo	95.0	95	95	0.0	1	ELF
.text._ZNK5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tIA13_cEERKS7_EclERSo	103.0	103	103	0.0	1	ELF
.text._ZNK5boost9unit_test17lazy_ostream_implINS0_12lazy_ostreamENS_10test_tools9tt_detail14print_helper_tINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEERKSC_EclERSo	54.0	54	54	0.0	1	ELF
.text.startup	1412.6666666666667	6291	16	2276.705679265548	9	ELF
.text.unlikely	272.4	1135	53	482.21291977714577	5	ELF
.tm_clone_table	0.0	0	0	0.0	15	ELF
.typelink	2340.0	2748	1928	471.1291401162389	4	ELF
.vectors	145.78372352285396	508	4	140.46899299741986	897	ELF
.vvar	4096.0	4096	4096	0.0	1	ELF
.x86_cpu_dev.init	24.0	24	24	0.0	1	ELF
BuildOptions	17.962962962962962	35	15	7.2402798579649135	27	ELF
Intel(R) OpenCL Device Binary	52288.444444444445	135068	12992	32669.040744709466	27	ELF
