Type,File Path,File Name,Extension,Date Created,File Size (Bytes),Symbol Name,Symbol Size (Bytes),Symbol Size
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VJavascriptReturnMessage@cefexchange@@VJavascriptReturn@protobuf@2@$1?JavascriptReturnFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VJavascriptReturnMessage@cefexchange@@VJavascriptReturn@protobuf@2@$1?JavascriptReturnFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VMonitorConfigRequestMessage@cefexchange@@VMonitorConfigRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VMonitorConfigRequestMessage@cefexchange@@VMonitorConfigRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VMonitorConfigResponseMessage@cefexchange@@VMonitorConfigResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VMonitorConfigResponseMessage@cefexchange@@VMonitorConfigResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNewWindowMessage@cefexchange@@VNewWindow@protobuf@2@$1?NewWindowFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNewWindowMessage@cefexchange@@VNewWindow@protobuf@2@$1?NewWindowFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNumScreensRequestMessage@cefexchange@@VNumScreensRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNumScreensRequestMessage@cefexchange@@VNumScreensRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNumScreensResponseMessage@cefexchange@@VNumScreensResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VNumScreensResponseMessage@cefexchange@@VNumScreensResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPDFEventMessage@cefexchange@@VPDFEvent@protobuf@2@$1?PDFEventFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPDFEventMessage@cefexchange@@VPDFEvent@protobuf@2@$1?PDFEventFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPopUpWindowMessage@cefexchange@@VPopUpWindow@protobuf@2@$1?PopUpWindowFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPopUpWindowMessage@cefexchange@@VPopUpWindow@protobuf@2@$1?PopUpWindowFrameName@controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrimaryScreenRequestMessage@cefexchange@@VPrimaryScreenRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrimaryScreenRequestMessage@cefexchange@@VPrimaryScreenRequest@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrimaryScreenResponseMessage@cefexchange@@VPrimaryScreenResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@AEBV01@@Z,,48
PE,C:\Users\b135c\OneDrive\Desktop\MY-MESS\masters\spring\EE699\test\cefexchangeprotocol.dll,cefexchangeprotocol.dll,.dll,2024-02-14 16:06:40,820736,??0?$CEFControlMessageSerializer@VPrimaryScreenResponseMessage@cefexchange@@VPrimaryScreenResponse@protobuf@2@$1?3controlMessages@@3QBDB@cefexchange@@QEAA@XZ,,96
